epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,57.168,1.22625,1.90014,0.9967,1.02617,0,0.9898,1,0.995,0.77644,0.9898,1,0.995,0.77535,0.88905,1.06328,1.18616,0.90729,0,0.000684821,0.000684821,0.0136848
45,58.3296,1.00224,0.99546,0.79659,0.98387,0,0.9898,1,0.995,0.77644,0.9898,1,0.995,0.77535,0.88905,1.06328,1.18616,0.90729,0,0.000696158,0.000696158,0.0116962
46,59.5297,1.06104,1.34572,0.84707,0.97611,0,0.98605,1,0.995,0.80239,0.98605,1,0.995,0.83068,0.78884,0.81951,1.16037,0.88945,0,0.000707298,0.000707298,0.0097073
47,60.773,0.98223,1.63141,0.77269,0.93748,0,0.98605,1,0.995,0.80239,0.98605,1,0.995,0.83068,0.78884,0.81951,1.16037,0.88945,0,0.000718239,0.000718239,0.00771824
48,62.0716,0.97935,1.31288,0.83981,0.98999,0,0.98605,1,0.995,0.80239,0.98605,1,0.995,0.83068,0.78884,0.81951,1.16037,0.88945,0,0.000728983,0.000728983,0.00572898
49,63.2712,1.31242,1.81632,1.22809,1.07248,0,0.98605,1,0.995,0.80239,0.98605,1,0.995,0.83068,0.78884,0.81951,1.16037,0.88945,0,0.000739528,0.000739528,0.00373953
50,64.4383,1.05612,1.30383,0.84867,0.99678,0,0.98549,1,0.995,0.80387,0.98549,1,0.995,0.83254,0.71218,0.79809,1.10202,0.8693,0,0.000749876,0.000749876,0.00174988
51,65.5997,0.94738,1.17782,0.84494,0.95492,0,0.98549,1,0.995,0.80387,0.98549,1,0.995,0.83254,0.71218,0.79809,1.10202,0.8693,0,0.0007525,0.0007525,0.0007525
52,66.8054,0.80294,1.11363,0.75617,0.88812,0,0.98549,1,0.995,0.80387,0.98549,1,0.995,0.83254,0.71218,0.79809,1.10202,0.8693,0,0.00074755,0.00074755,0.00074755
53,67.9089,0.9893,1.05777,0.86833,0.976,0,0.98549,1,0.995,0.80387,0.98549,1,0.995,0.83254,0.71218,0.79809,1.10202,0.8693,0,0.0007426,0.0007426,0.0007426
54,69.0671,0.85615,1.09809,0.80576,0.8652,0,0.98944,1,0.995,0.82098,0.98944,1,0.995,0.84984,0.67219,0.77777,0.97876,0.8635,0,0.00073765,0.00073765,0.00073765
55,70.2211,1.15056,1.74733,0.95047,1.04574,0,0.98944,1,0.995,0.82098,0.98944,1,0.995,0.84984,0.67219,0.77777,0.97876,0.8635,0,0.0007327,0.0007327,0.0007327
56,71.3817,0.90708,1.22797,0.82877,0.95429,0,0.98944,1,0.995,0.82098,0.98944,1,0.995,0.84984,0.67219,0.77777,0.97876,0.8635,0,0.00072775,0.00072775,0.00072775
57,72.4966,1.10512,1.50384,0.87599,0.99561,0,0.98944,1,0.995,0.82098,0.98944,1,0.995,0.84984,0.67219,0.77777,0.97876,0.8635,0,0.0007228,0.0007228,0.0007228
58,73.5586,0.79707,0.94458,0.72934,0.91525,0,0.9961,1,0.995,0.85566,0.9961,1,0.995,0.85573,0.63257,0.76373,0.85716,0.85688,0,0.00071785,0.00071785,0.00071785
59,74.611,0.79586,0.98562,0.80148,0.91181,0,0.9961,1,0.995,0.85566,0.9961,1,0.995,0.85573,0.63257,0.76373,0.85716,0.85688,0,0.0007129,0.0007129,0.0007129
60,75.6875,0.89603,0.94045,0.67594,0.90998,0,0.9961,1,0.995,0.85566,0.9961,1,0.995,0.85573,0.63257,0.76373,0.85716,0.85688,0,0.00070795,0.00070795,0.00070795
61,76.8093,1.0047,1.26311,0.75449,0.95537,0,0.9961,1,0.995,0.85566,0.9961,1,0.995,0.85573,0.63257,0.76373,0.85716,0.85688,0,0.000703,0.000703,0.000703
62,77.8998,0.79552,0.99044,0.75682,0.90257,0,0.99688,1,0.995,0.82692,0.99688,1,0.995,0.82858,0.65929,0.72746,0.80958,0.84948,0,0.00069805,0.00069805,0.00069805
63,79.058,1.14045,1.39874,0.96225,0.98169,0,0.99688,1,0.995,0.82692,0.99688,1,0.995,0.82858,0.65929,0.72746,0.80958,0.84948,0,0.0006931,0.0006931,0.0006931
64,80.2024,0.89632,1.1392,0.71439,0.94081,0,0.99688,1,0.995,0.82692,0.99688,1,0.995,0.82858,0.65929,0.72746,0.80958,0.84948,0,0.00068815,0.00068815,0.00068815
65,81.3456,0.90433,1.15823,0.82823,0.97422,0,0.99688,1,0.995,0.82692,0.99688,1,0.995,0.82858,0.65929,0.72746,0.80958,0.84948,0,0.0006832,0.0006832,0.0006832
66,82.6815,0.93759,1.04277,0.8,0.94476,0,0.99739,1,0.995,0.8581,0.99739,1,0.995,0.81289,0.6303,0.68299,0.75216,0.84283,0,0.00067825,0.00067825,0.00067825
67,83.7854,0.79319,0.7727,0.76595,0.93147,0,0.99739,1,0.995,0.8581,0.99739,1,0.995,0.81289,0.6303,0.68299,0.75216,0.84283,0,0.0006733,0.0006733,0.0006733
68,84.9937,1.23591,1.28445,0.90707,1.10084,0,0.99739,1,0.995,0.8581,0.99739,1,0.995,0.81289,0.6303,0.68299,0.75216,0.84283,0,0.00066835,0.00066835,0.00066835
69,86.0972,0.73811,0.74979,0.67205,0.90494,0,0.99739,1,0.995,0.8581,0.99739,1,0.995,0.81289,0.6303,0.68299,0.75216,0.84283,0,0.0006634,0.0006634,0.0006634
70,87.3003,0.82951,1.13523,0.69294,0.98071,0,0.99582,1,0.995,0.88068,0.99582,1,0.995,0.87282,0.528,0.65785,0.70754,0.83182,0,0.00065845,0.00065845,0.00065845
71,88.4652,1.13718,1.63148,0.97631,1.04275,0,0.99582,1,0.995,0.88068,0.99582,1,0.995,0.87282,0.528,0.65785,0.70754,0.83182,0,0.0006535,0.0006535,0.0006535
72,89.6246,0.78683,0.83273,0.79459,0.94358,0,0.99582,1,0.995,0.88068,0.99582,1,0.995,0.87282,0.528,0.65785,0.70754,0.83182,0,0.00064855,0.00064855,0.00064855
73,90.7399,0.81024,1.00158,0.75869,0.90614,0,0.99582,1,0.995,0.88068,0.99582,1,0.995,0.87282,0.528,0.65785,0.70754,0.83182,0,0.0006436,0.0006436,0.0006436
74,91.9136,1.05854,1.40535,0.89205,1.01831,0,0.99263,1,0.995,0.8852,0.99263,1,0.995,0.88154,0.49506,0.65627,0.71462,0.82615,0,0.00063865,0.00063865,0.00063865
75,93.1898,0.88552,0.90238,0.69004,0.95068,0,0.99263,1,0.995,0.8852,0.99263,1,0.995,0.88154,0.49506,0.65627,0.71462,0.82615,0,0.0006337,0.0006337,0.0006337
76,94.2998,0.76646,1.02121,0.67089,0.88785,0,0.99263,1,0.995,0.8852,0.99263,1,0.995,0.88154,0.49506,0.65627,0.71462,0.82615,0,0.00062875,0.00062875,0.00062875
77,95.4967,0.86213,1.22275,0.7515,0.94328,0,0.99263,1,0.995,0.8852,0.99263,1,0.995,0.88154,0.49506,0.65627,0.71462,0.82615,0,0.0006238,0.0006238,0.0006238
78,96.6031,0.7465,0.923,0.68894,0.95004,0,0.99424,1,0.995,0.89598,0.99424,1,0.995,0.85419,0.50547,0.64531,0.71647,0.83243,0,0.00061885,0.00061885,0.00061885
79,97.722,0.65963,0.66322,0.63941,0.88621,0,0.99424,1,0.995,0.89598,0.99424,1,0.995,0.85419,0.50547,0.64531,0.71647,0.83243,0,0.0006139,0.0006139,0.0006139
80,98.8402,0.81697,0.76731,0.68531,0.91207,0,0.99424,1,0.995,0.89598,0.99424,1,0.995,0.85419,0.50547,0.64531,0.71647,0.83243,0,0.00060895,0.00060895,0.00060895
81,99.9558,0.96218,0.90976,0.69275,1.0281,0,0.99424,1,0.995,0.89598,0.99424,1,0.995,0.85419,0.50547,0.64531,0.71647,0.83243,0,0.000604,0.000604,0.000604
82,101.132,0.79741,0.84032,0.67045,0.9008,0,0.99492,1,0.995,0.90715,0.99492,1,0.995,0.85457,0.47181,0.66109,0.71818,0.8256,0,0.00059905,0.00059905,0.00059905
83,102.297,0.56586,0.89538,0.65398,0.89647,0,0.99492,1,0.995,0.90715,0.99492,1,0.995,0.85457,0.47181,0.66109,0.71818,0.8256,0,0.0005941,0.0005941,0.0005941
84,103.503,0.71785,0.7504,0.63512,0.88244,0,0.99492,1,0.995,0.90715,0.99492,1,0.995,0.85457,0.47181,0.66109,0.71818,0.8256,0,0.00058915,0.00058915,0.00058915
85,104.679,0.71512,0.79413,0.64442,0.86151,0,0.99492,1,0.995,0.90715,0.99492,1,0.995,0.85457,0.47181,0.66109,0.71818,0.8256,0,0.0005842,0.0005842,0.0005842
86,105.833,0.77115,1.00154,0.70813,0.95915,0,0.99458,1,0.995,0.90282,0.99458,1,0.995,0.87514,0.47627,0.63905,0.69152,0.82628,0,0.00057925,0.00057925,0.00057925
87,106.938,0.69565,0.84209,0.6777,0.92053,0,0.99458,1,0.995,0.90282,0.99458,1,0.995,0.87514,0.47627,0.63905,0.69152,0.82628,0,0.0005743,0.0005743,0.0005743
88,108.139,0.84303,1.02304,0.74219,0.94266,0,0.99458,1,0.995,0.90282,0.99458,1,0.995,0.87514,0.47627,0.63905,0.69152,0.82628,0,0.00056935,0.00056935,0.00056935
89,109.39,0.77741,0.83282,0.65737,0.89882,0,0.99458,1,0.995,0.90282,0.99458,1,0.995,0.87514,0.47627,0.63905,0.69152,0.82628,0,0.0005644,0.0005644,0.0005644
90,110.66,0.80946,1.10875,0.70007,0.99328,0,0.99549,1,0.995,0.88212,0.99549,1,0.995,0.86675,0.4809,0.61118,0.63502,0.82505,0,0.00055945,0.00055945,0.00055945
91,111.801,0.56887,0.63777,0.58641,0.8741,0,0.99549,1,0.995,0.88212,0.99549,1,0.995,0.86675,0.4809,0.61118,0.63502,0.82505,0,0.0005545,0.0005545,0.0005545
92,112.973,0.70677,0.68197,0.67868,0.87061,0,0.99549,1,0.995,0.88212,0.99549,1,0.995,0.86675,0.4809,0.61118,0.63502,0.82505,0,0.00054955,0.00054955,0.00054955
93,114.162,0.67416,0.89341,0.6044,0.86794,0,0.99549,1,0.995,0.88212,0.99549,1,0.995,0.86675,0.4809,0.61118,0.63502,0.82505,0,0.0005446,0.0005446,0.0005446
94,115.483,0.75856,0.89684,0.66675,0.91861,0,0.99562,1,0.995,0.90835,0.99562,1,0.995,0.88478,0.47736,0.61322,0.56775,0.82832,0,0.00053965,0.00053965,0.00053965
95,116.721,0.78865,1.01409,0.63058,0.92407,0,0.99562,1,0.995,0.90835,0.99562,1,0.995,0.88478,0.47736,0.61322,0.56775,0.82832,0,0.0005347,0.0005347,0.0005347
96,117.905,0.72927,0.84102,0.58344,0.8853,0,0.99562,1,0.995,0.90835,0.99562,1,0.995,0.88478,0.47736,0.61322,0.56775,0.82832,0,0.00052975,0.00052975,0.00052975
97,119.099,0.81077,1.26525,0.84727,0.91465,0,0.99562,1,0.995,0.90835,0.99562,1,0.995,0.88478,0.47736,0.61322,0.56775,0.82832,0,0.0005248,0.0005248,0.0005248
98,120.354,0.87383,1.1556,0.67648,0.97104,0,0.99584,1,0.995,0.92377,0.99584,1,0.995,0.87888,0.46366,0.58973,0.5189,0.82799,0,0.00051985,0.00051985,0.00051985
99,121.452,0.55163,0.60457,0.53566,0.83832,0,0.99584,1,0.995,0.92377,0.99584,1,0.995,0.87888,0.46366,0.58973,0.5189,0.82799,0,0.0005149,0.0005149,0.0005149
100,122.667,0.89221,0.95681,0.65879,0.94635,0,0.99584,1,0.995,0.92377,0.99584,1,0.995,0.87888,0.46366,0.58973,0.5189,0.82799,0,0.00050995,0.00050995,0.00050995
